SMILES,BBB+/BBB-
CC(C)(C(=O)O)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,BBB+
CC(C)(C)c1ccc(C(=O)N2CCN(c3ccc(OCCCN4CCCCC4)cc3)C(=O)C2)cc1,BBB+
CCC(C)C1OC2(CCC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2,BBB+
CCC(NC(=O)c1c(OCC(=O)O)c(-c2ccccc2)nc2ccccc12)c1ccccc1,BBB+
CCOC(=O)C1=CC(OC(CC)CC)C(NCOC)C(N)C1,BBB+
CCOC(=O)NNc1ccc(N(CC(C)O)C(C)C)nn1,BBB+
CN(C)C(=O)Cn1nc(-c2c(-c3ccccc3)nn3ccccc23)ccc1=O,BBB+
CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)C2c2ccc3c(c2)OCO3)C1=O,BBB+
COC(=O)C1C(=O)CC(=Nc2cccc([N+](=O)[O-])c2)CC1C,BBB+
COc1cc(N)cn[n+]1-c1ccccc1,BBB+
COc1cc2c(cc1CNC1C3CCN(C3)C1C(c1ccccc1)c1ccccc1)N(S(C)(=O)=O)CC2,BBB+
CSc1nn2c(N3CCNCC3)c3c(nc2c1S(=O)(=O)c1ccccc1)CCC3,BBB+
Cc1cc2ccccc2n1CCNC(=O)C=Cc1ccc(OCCO)c(OCCO)c1,BBB+
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,BBB+
Clc1cccc(C(c2ccc3[nH]cnc3c2)n2ccnc2)c1,BBB+
O=C(O)CCCCON=C(c1cccnc1)c1cccc(C(F)(F)F)c1,BBB+
O=C(c1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1)N1CCC1,BBB+
Oc1cc(-c2[nH]c(-c3ccccc3)nc2-c2ccncc2)ccc1Cl,BBB+
CC(C)(C)NC(=O)C1CC2CCCCC2CN1CC(O)C(Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,BBB+
CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,BBB+
COC(=O)C1C(=O)CC(=Nc2ccc(Cl)cc2)CC1C,BBB+
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)NC(C)(C)C,BBB+
Cc1c(O)cccc1C(=O)NC(CSc1ccccc1)C(O)CN1CC2CCCCC2CC1C(=O)CNC(C)(C)C,BBB+
COn1cc(C(=O)O)c(=O)c2cc3c(cc21)OCO3,BBB+
CCS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,BBB+
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,BBB+
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,BBB+
COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1,BBB+
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,BBB+
COc1ccc(C(C)(C)O)cc1CNC1C2CCN(CC2)C1C(c1ccccc1)c1ccccc1,BBB+
Nc1cccc(CN2CCC(NC(=O)C(O)(c3ccccc3)C3CCC(F)(F)C3)CC2)n1,BBB+
CC1CCN(CCC2CCN2S(=O)(=O)C2=CC(=O)CCC2)CC1,BBB+
Cc1cc(Cl)ccc1NC1=NCCN1,BBB+
CN(C)CCOc1ccc(-c2nc(-c3ccc4c(c3)CCC4=NCO)c(-c3ccncc3)[nH]2)cc1,BBB+
COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1,BBB+
Cc1cn(C2CC(F)C(CO)O2)c(=O)[nH]c1=O,BBB+
Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2ccccc2)cc1,BBB+
COc1cccc2c(O)c3c(c(O)c12)C(=O)C1=C(CC(O)(C(=O)CO)CC1OC1CC(N)C(O)C(C)O1)C3=O,BBB+
COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1,BBB+
CS(=O)(=O)c1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,BBB+
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,BBB+
Nc1nc(=O)c2ncn(COCCO)c2[nH]1,BBB+
CN=C(NC#N)NCCSCc1csc(=NC(=N)N)[nH]1,BBB+
C=C(C)C(=O)C(=CC(=O)O)OC,BBB+
CCc1ccc(-n2cnc3c(sc4nccc(N(C)CCc5ccccn5)c43)c2=O)cc1,BBB+
CCn1nnc(NC(=O)C2c3ccccc3Oc3ccccc32)n1,BBB+
CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,BBB+
COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,BBB+
Cc1nc2n(c(=O)c1CCN1CCC(c3coc4cc(F)ccc34)CC1)CCCC2O,BBB+
NC(Cc1ccc(O)c(O)c1)C(=O)O,BBB+
NC(Cc1ccccc1)C(=O)ON1CCCC1C(=O)O,BBB+
Nc1ccn(C2CC(CO)C(CO)O2)c(=O)n1,BBB+
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCN(C(C)=O)CC1,BBB+
CC=CC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N1C,BBB+
CC=CCC(C)C(O)C1C(=O)NC(CC)C(=O)N(C)CC(=O)N(C)C(CC(C)C)C(=O)NC(C(C)C)C(=O)N(C)C(CC(C)C)C(=O)NC(C)C(=O)NC(C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(CC(C)C)C(=O)N(C)C(C(C)C)C(=O)N1C,BBB+
Cc1c(CCOC(=O)c2cc(=O)c3c(Cl)cc(Cl)cc3[nH]2)sc[n+]1C,BBB+
Oc1ccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,BBB+
CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,BBB+
CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,BBB+
CN(C)Cc1ccc(CSCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,BBB+
CN(C)Cc1ccc(SCCNc2[nH]cc(Cc3ccccc3)c2[N+](=O)[O-])o1,BBB+
CN(C)Cc1ccc(CSCCNc2[nH]ccc2Cc2ccccc2)o1,BBB+
CN(C)Cc1ccc(CSCCNc2cc(Cc3ccccc3)c[nH]2)o1,BBB+
Cc1cn(C2CC(N=[N+]=[N-])C(CO)O2)c(=O)[nH]c1=O,BBB+
CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,BBB+
Cc1cn(C2CC(N=[N+]=N)C(CO)O2)c(=O)[nH]c1=O,BBB+
Cc1cn(C2CC(N=NN)C(CO)O2)c(=O)[nH]c1=O,BBB+
CCCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,BBB+
S=c1[nH]cnc2[nH]cnc12,BBB+
C=CC1CC2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,BBB+
CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,BBB+
CC1CN(C2CCC(C#N)(c3ccc(F)cc3)CC2)CCC1(C(=O)O)c1ccccc1,BBB+
CC1N=C(N)Nc2cccc(Cl)c21,BBB+
CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OCC[N+](C)(C)C)OC,BBB+
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(CSc6nncn6C)(c6ccc(Cl)cc6)O5)cc4)CC3)cc2)c1=O,BBB+
COc1ccc(CCN(C)CCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,BBB+
N#Cc1ccc(C(=O)N2CCN(c3ccc(OC4CCN(C5CCC5)CC4)cc3)C(=O)C2)cc1,BBB+
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,BBB+
CN1C2CCCC1CC(NC(=O)c1nn(C)c3ccccc13)C2,BBB+
O=c1[nH]c(O)cc[n+]1C1CC(F)C(CO)O1,BBB+
CNC(=O)c1c(NCC2CCC3(CCC3)CC2)nc(C#N)nc1OCC1CCNCC1,BBB+
Cc1nc2n(c(=O)c1CCN1CCC(c3noc4cc(F)ccc34)CC1)CC(O)CC2,BBB+
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,BBB+
O=C(O)c1cc[nH]c1NCCSCc1ncccc1Br,BBB+
O=[N+]([O-])c1cc[nH]c1NCCSCc1ncccc1Br,BBB+
NC(=O)c1cnn(C2OC(CO)C(O)C2O)n1,BBB+
Nc1cc(N)c(N)cc1N,BBB+
O=[N+]([O-])C1=CC=NC1NCCSCc1ncccc1Br,BBB+
O=[N+]([O-])c1[nH]ccc1NCCSCc1ncccc1Br,BBB+
CCn1cc(C(=O)O)c(=O)c2ccc(C)nc21,BBB+
O=[N+]([O-])c1cc[nH]c1NCCSCc1ccccn1,BBB+
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(C)c2cc1OC,BBB+
Cc1cccc(COc2cccc(C=C3C(=O)NN(c4ccccc4)C3=O)c2)c1,BBB+
O=C1NCC(c2ccccc2)C2(CCN(C(=O)c3cc(C(F)(F)F)cc(C(F)(F)F)c3)CC2)O1,BBB+
O=[N+]([O-])C1=CC=NC1NCCSCc1ccccn1,BBB+
Cc1ccc(NC2=NCCN2)c(Cl)c1,BBB+
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,BBB+
COc1ccc(CCNCCCC(C#N)(c2ccc(OC)c(OC)c2)C(C)C)cc1OC,BBB+
CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,BBB+
CC(=O)N1CCc2ccc(N(C(=O)C=Cc3cccc(C#N)c3)N3CCN(CCC4CCCC4)CC3)cc21,BBB+
CC(=O)Cc1ccc(C(=O)Nc2cc(-c3cccs3)ccc2N)cc1,BBB+
NC(=O)C(c1ccccc1)(c1ccccc1)C1CCN(CCc2ccc3c(c2)CCO3)C1,BBB+
CSC(=N)N,BBB+
COc1ccc2c3c1OC1C(O)CCC4(O)C(C2)NCCC314,BBB+
COc1ccc2c3c1OC1C(O)CCC4(O)C(C2)N(C)CCC314,BBB+
CC1CCCN1CCCOc1ccc(N2CCN(C(=O)c3ccc(F)cc3F)CC2=O)cc1,BBB+
O=S1(=O)NC2CCCN2c2ccccc21,BBB+
CC(C)CC1C(=O)N2CCCC2C2OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4N(C)C3)(C(C)C)C(=O)N12,BBB+
Cc1nc(=O)c([N+](=O)[O-])c(N2CCc3ccccc3CC2)[nH]1,BBB+
NC(=O)N1c2ccccc2CC(O)c2ccccc21,BBB+
O=C(Cc1ccc(OCc2ccccc2)cc1)Nc1ccc2ccn(CCN3CCCC3)c2c1,BBB+
CC(=O)Nc1ccc(C(=O)Nc2ccccc2N)cc1,BBB+
CC(=C(CCOC(=O)c1cc(=O)c2c(Cl)cc(Cl)cc2[nH]1)SSC(C)C)N(C=O)Cc1cnc(C)nc1N,BBB+
Oc1cccc(-c2ccc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)c1,BBB+
CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,BBB+
CN1CN(c2ccc(Br)cc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,BBB+
CC(=O)Nc1ccc(OCC(O)CNC(C)C)cc1,BBB+
CC(=O)OC1=C2C(C)C(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)CC(O)(C(OC(=O)c3ccccc3)C3C4(OC(C)=O)COC4CC(O)C3(C)C1=O)C2(C)C,BBB+
CC(C)CC(CN)CC(=O)O,BBB+
CC1=CN2C(CC(=O)N(C)C)=C(c3ccc(C)cc3)NC2C=C1,BBB+
Cc1ccc(C(=O)NC2CC2)cc1-c1ccc(C(=O)NCC2CC2)cc1,BBB+
CC(=O)Nc1nnc(S(N)(=O)=O)s1,BBB+
CN(C)c1ccc(O)c2c1CC1CC3C(N(C)C)C(=O)C(C(N)=O)C(=O)C3(O)C(=O)C1C2=O,BBB+
CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,BBB+
COc1cc(C=CC(=O)NCCn2c(C)cc3ccccc32)cc(OC)c1OC,BBB+
COc1ccc(S(=O)(=O)Nc2cc(Br)cc(F)c2Br)cc1N1CCNCC1,BBB+
O=NN(CCCl)C(=O)NCCCl,BBB+
